face_id,start_s,end_s
26,426.600,428.200
26,435.600,440.800
26,443.000,445.200
26,446.600,450.000
27,452.000,453.600
28,452.400,453.200
29,454.000,454.400
30,548.200,550.000
30,558.400,559.600
30,561.000,562.000
30,563.400,564.200
30,566.800,572.200
30,573.800,575.800
30,581.200,582.600
30,586.000,588.800
30,594.200,596.800
30,599.600,605.200
30,607.000,608.400
30,609.600,617.000
30,620.200,621.200
30,623.000,626.000
30,644.200,645.400
30,663.000,664.800
31,558.600,559.600
31,567.400,567.800
31,601.400,602.000
31,605.000,605.000
32,564.400,566.600
32,568.000,569.800
33,565.600,566.600
33,568.000,569.800
34,576.000,581.000
35,576.000,581.000
36,581.200,582.600
36,586.000,586.800
37,582.800,585.800
37,589.000,591.800
37,597.000,599.400
38,605.400,606.600
38,616.400,616.400
38,621.400,621.600
39,625.000,625.600
40,691.200,707.000
40,708.600,716.200
40,721.800,725.800
40,728.000,731.600
40,741.400,744.800
40,751.800,761.400
40,764.400,766.800
40,773.600,775.800
40,779.000,781.400
40,782.800,784.000
40,785.200,785.400
40,789.800,799.400
40,802.000,812.000
41,749.000,750.400
42,761.600,766.800
42,768.200,773.400
42,774.600,787.600
43,878.800,883.200
44,878.800,883.400
45,883.600,884.000
46,884.400,885.800
