time_s,face_id,x1,y1,x2,y2
63.4,0,228,42,305,154
63.6,0,229,42,306,156
63.8,0,230,43,308,154
64.0,0,230,44,308,156
64.2,0,230,44,309,156
64.4,0,230,44,309,155
64.6,0,230,47,308,159
64.8,0,230,49,308,160
65.0,0,229,48,308,159
68.0,1,96,124,159,211
68.0,0,467,111,536,203
68.2,1,100,119,165,206
68.2,0,468,110,538,202
68.4,1,94,115,159,204
68.4,0,461,109,531,202
68.6,1,85,116,151,206
68.6,0,454,111,522,204
68.8,1,86,118,152,210
68.8,0,448,113,512,203
69.0,1,96,118,161,211
69.0,0,446,113,509,203
69.2,1,109,118,175,211
69.2,0,445,116,508,205
69.4,1,137,119,200,209
69.4,0,445,116,508,206
69.6,0,444,117,507,207
69.6,1,153,122,216,214
69.8,0,445,117,508,207
69.8,1,159,122,220,215
70.0,1,159,123,222,216
70.0,0,448,119,512,207
70.2,1,159,124,221,215
70.2,0,452,116,521,207
70.4,0,455,116,524,209
70.4,1,148,122,214,214
70.6,1,143,122,208,213
70.6,0,459,115,527,209
70.8,1,139,121,204,214
70.8,0,463,116,532,208
71.0,1,133,121,197,214
71.0,0,466,116,535,206
71.2,1,128,121,193,214
71.2,0,470,116,540,207
73.8,1,313,48,437,235
74.0,1,315,47,438,232
74.2,1,318,43,440,220
74.4,1,317,40,437,216
74.6,1,315,44,436,219
74.8,1,322,44,441,219
75.0,1,330,43,451,216
75.2,1,356,43,479,217
75.4,1,366,44,489,225
75.6,0,320,52,459,260
75.6,1,-50,29,103,350
75.8,0,316,52,455,259
76.0,0,315,55,453,258
76.0,1,-46,51,105,358
76.2,0,315,54,450,259
76.2,1,-40,77,150,371
76.4,1,134,16,274,200
76.6,1,169,-23,277,143
76.8,1,195,-12,318,128
77.0,1,203,-13,316,148
77.2,1,200,-16,315,168
77.4,1,192,-10,307,183
77.6,1,171,-2,288,183
77.8,1,180,-15,296,177
78.0,1,136,83,209,179
78.0,0,472,109,542,198
78.2,1,123,82,194,178
78.2,0,469,109,539,198
78.4,1,101,86,169,177
78.4,0,468,110,538,198
78.6,0,469,109,540,198
78.6,1,77,90,143,181
78.8,1,73,101,137,194
78.8,0,470,108,540,198
79.0,1,77,107,137,199
79.0,0,471,110,541,203
79.2,1,76,106,134,196
79.2,0,472,111,543,207
79.4,1,73,105,132,189
79.4,0,473,109,544,200
79.6,1,293,29,415,196
79.8,1,287,27,409,198
80.0,1,282,27,395,200
80.2,1,264,34,374,201
80.4,1,232,38,334,208
80.6,1,185,39,286,218
80.8,1,147,39,259,228
81.0,1,126,48,250,240
81.2,1,100,59,224,245
81.4,1,81,67,208,246
81.6,1,90,72,216,246
81.8,1,334,37,432,175
82.0,1,336,37,433,166
82.2,1,339,36,438,169
82.4,1,339,39,438,179
82.6,1,337,41,435,179
82.8,1,334,41,432,179
83.0,1,334,41,433,179
83.2,5,248,60,347,201
83.4,5,247,60,346,202
83.6,5,244,70,343,213
83.8,5,243,59,344,203
84.0,5,245,62,345,204
84.2,5,246,63,345,203
84.4,5,246,64,345,204
84.6,5,246,64,345,202
84.8,5,246,66,345,201
85.0,1,331,59,454,249
85.2,1,324,56,443,245
85.4,1,316,52,439,242
85.6,1,320,53,445,242
85.8,1,321,53,447,240
86.0,1,316,52,440,241
86.2,1,312,52,436,241
86.4,1,314,53,441,243
86.6,0,217,49,346,222
86.8,0,215,45,343,221
87.0,0,215,46,342,223
87.2,0,214,50,341,223
87.4,0,210,52,335,225
87.6,0,199,55,325,228
87.8,1,149,124,213,225
87.8,0,465,116,534,212
88.0,1,163,154,236,241
88.0,0,462,116,531,213
88.2,0,467,119,539,215
88.2,1,196,145,274,244
88.4,0,477,122,549,215
88.4,1,218,137,290,245
88.6,0,217,61,348,233
88.8,0,215,65,346,235
89.0,0,217,67,347,235
89.2,0,222,67,353,234
89.4,0,221,66,351,233
89.6,0,221,69,350,233
89.8,1,269,22,402,200
90.0,1,264,32,393,209
90.2,1,253,39,364,222
90.4,1,280,44,386,234
90.6,1,289,46,393,229
90.8,1,291,40,397,227
91.0,1,299,41,409,211
91.2,1,298,39,404,217
91.4,1,295,39,400,225
91.6,1,294,41,398,221
91.8,1,294,39,398,231
92.0,1,295,41,399,228
92.2,1,295,43,399,224
92.4,1,295,44,399,223
92.6,0,227,43,304,156
92.8,0,227,46,304,157
93.0,0,227,44,304,156
93.2,0,227,45,304,157
93.4,0,227,45,304,158
93.6,0,227,45,304,157
93.8,0,227,45,304,157
94.0,0,466,14,581,212
94.0,6,300,74,354,175
94.2,6,299,74,355,173
94.2,0,465,14,580,212
94.4,6,299,71,353,174
94.4,0,465,14,579,211
94.6,1,293,65,353,177
94.6,0,467,15,577,211
94.8,1,297,58,368,181
94.8,0,467,14,579,212
95.0,1,311,58,387,183
95.0,0,467,16,578,211
95.2,1,319,58,401,187
95.2,0,467,15,577,211
95.4,1,315,60,397,185
95.4,0,467,15,576,211
95.6,1,302,59,381,182
95.6,0,466,15,577,211
95.8,1,292,59,366,186
95.8,0,467,15,578,211
96.0,1,290,58,362,184
96.0,0,466,15,579,210
96.2,1,293,56,363,185
96.2,0,467,16,576,210
96.4,1,294,55,366,184
96.4,0,467,18,576,209
96.6,0,236,67,366,237
96.8,0,242,68,371,238
97.0,0,251,61,384,238
97.2,0,251,64,384,240
97.4,0,249,66,382,240
97.6,0,252,87,388,256
97.8,0,261,116,408,271
98.0,0,273,135,418,282
98.2,0,278,131,425,283
98.4,0,278,127,424,283
98.6,0,379,58,561,321
98.6,1,207,45,316,227
98.8,1,215,44,324,221
98.8,0,391,55,557,320
99.0,1,213,45,327,226
99.0,0,395,17,564,310
99.2,1,211,45,322,228
99.2,0,408,3,569,286
99.4,1,222,51,331,233
99.4,0,421,-12,578,278
99.6,1,239,45,359,226
99.6,0,424,-9,583,278
99.8,1,241,45,362,224
99.8,0,425,-13,588,280
100.0,1,236,47,359,228
100.2,1,234,51,358,231
100.2,0,462,-6,620,267
100.4,1,236,49,359,231
100.4,0,463,-13,626,266
100.6,1,235,49,358,229
100.6,0,459,-3,621,265
100.8,1,234,49,357,232
100.8,0,457,-9,622,266
101.0,0,453,115,526,212
101.0,1,167,124,225,224
101.2,0,453,115,525,212
101.2,1,168,128,232,226
101.4,0,453,115,525,213
101.4,1,171,129,236,229
101.6,1,172,128,236,226
101.6,0,452,115,524,213
101.8,1,172,128,235,226
101.8,0,452,115,524,213
102.0,0,452,115,524,213
102.0,1,172,127,234,226
102.2,0,452,115,524,213
102.2,1,170,127,234,226
102.4,0,452,115,524,213
102.4,1,167,125,230,225
102.6,1,157,127,225,223
102.6,0,451,115,523,213
102.8,1,153,125,224,224
102.8,0,450,115,521,212
103.0,1,160,122,224,222
103.0,0,449,116,520,213
103.2,1,158,123,222,224
103.2,0,449,115,520,213
103.4,1,153,126,222,225
103.4,0,448,116,518,213
103.6,0,242,59,369,231
103.8,0,223,67,347,238
104.0,0,216,68,338,242
104.2,0,215,68,336,241
104.4,0,214,70,335,242
104.6,0,214,71,334,246
104.8,0,213,72,333,246
105.0,0,214,71,334,246
105.2,0,212,72,333,246
105.4,1,304,76,388,201
105.4,0,485,21,571,202
105.6,1,290,83,370,205
105.6,0,486,21,572,202
105.8,1,294,79,377,200
105.8,0,487,21,573,204
106.0,1,311,59,399,186
106.0,0,487,22,571,202
106.2,1,315,61,401,190
106.2,0,488,23,571,199
106.4,1,288,67,377,195
106.4,0,488,23,571,197
106.6,1,264,55,352,185
106.6,0,487,20,574,200
106.8,1,242,48,329,178
106.8,0,488,23,576,201
107.0,1,209,90,298,193
107.0,0,485,23,572,212
107.2,1,192,88,284,195
107.2,0,478,38,578,227
107.4,0,227,41,304,154
107.6,0,228,42,305,156
107.8,0,228,45,306,159
108.0,0,228,43,306,155
108.2,0,228,44,306,156
108.4,0,228,43,305,155
108.6,0,228,44,306,156
108.8,0,229,44,307,155
109.0,0,229,45,307,156
109.2,0,217,70,336,241
109.4,0,217,70,336,241
109.6,0,217,69,336,241
109.8,0,217,70,336,241
110.0,0,216,70,336,241
110.2,0,216,69,336,241
110.4,0,216,69,336,240
110.6,0,216,69,334,240
110.8,0,215,69,334,240
111.0,1,386,50,514,244
111.2,1,385,50,514,244
111.4,1,371,81,491,260
111.6,1,359,71,478,254
111.8,1,353,54,473,245
112.0,1,346,51,465,241
112.2,1,335,53,458,242
112.4,1,333,50,459,238
112.6,1,330,49,458,239
112.8,1,323,55,455,242
113.0,1,320,56,452,243
113.2,1,313,63,440,248
113.4,1,310,60,436,248
113.6,1,313,51,436,243
113.8,1,314,49,435,236
114.0,1,313,48,434,235
114.2,1,308,60,437,244
114.4,1,315,63,445,256
114.6,1,321,68,451,259
114.8,1,326,71,456,258
115.0,1,329,64,460,255
115.2,1,330,62,459,250
115.4,1,331,61,460,250
115.6,1,330,61,460,254
115.8,1,330,59,461,249
116.0,1,332,56,461,249
116.2,1,331,56,461,246
116.4,1,331,55,461,247
116.6,1,329,55,459,244
116.8,0,231,54,363,228
117.0,0,231,53,363,227
117.2,0,230,53,362,227
117.4,0,229,53,361,227
117.6,0,229,54,361,227
117.8,0,229,54,361,227
118.0,0,224,50,351,226
118.2,0,210,58,332,230
118.4,0,216,66,337,234
118.6,0,214,66,336,234
118.8,0,211,67,334,234
119.0,0,213,67,336,234
119.2,0,214,65,336,234
119.4,0,214,65,337,234
119.6,1,330,39,451,224
119.8,1,328,41,451,225
120.0,1,328,42,450,226
120.2,1,330,42,452,227
120.4,1,329,42,452,226
120.6,1,331,40,453,224
120.8,1,334,39,455,222
121.0,1,335,36,457,222
121.2,1,339,38,459,224
121.4,1,327,39,451,225
121.6,1,332,38,455,222
121.8,1,277,46,403,234
122.0,1,296,42,422,229
122.2,1,315,42,441,224
122.4,1,324,42,452,221
122.6,1,326,43,453,219
122.8,1,323,40,448,220
123.0,1,326,42,451,224
123.2,1,329,44,455,229
123.4,1,335,47,457,233
123.6,1,335,47,458,233
123.8,1,330,49,455,237
124.0,1,317,50,444,236
124.2,1,296,50,423,234
124.4,1,273,50,398,233
124.6,1,252,50,384,228
124.8,1,242,50,375,231
125.0,1,240,50,373,231
125.2,1,143,122,213,220
125.2,0,448,118,516,217
125.4,1,150,130,222,230
125.4,0,448,117,516,217
125.6,1,154,128,224,228
125.6,0,448,117,516,217
125.8,1,159,123,224,223
125.8,0,448,117,516,217
126.0,1,159,122,224,221
126.0,0,448,117,515,217
126.2,1,159,122,224,222
126.2,0,448,117,515,217
126.4,1,159,122,225,220
126.4,0,448,118,515,217
126.6,1,152,127,221,226
126.6,0,448,118,515,217
126.8,0,213,66,327,239
127.0,0,213,66,327,239
127.2,0,213,67,327,239
127.4,0,214,68,328,240
127.6,0,211,70,326,242
127.8,0,206,70,321,243
128.0,1,306,35,433,215
128.2,1,301,34,428,212
128.4,1,287,31,415,211
128.6,1,279,36,410,217
128.8,1,278,38,412,223
129.0,1,282,38,415,217
129.2,1,282,40,415,220
129.4,1,285,40,417,219
129.6,1,302,49,374,173
129.6,0,520,-1,633,199
129.8,1,321,54,395,176
129.8,0,521,0,633,199
130.0,1,322,55,397,179
130.0,0,521,1,633,199
130.2,1,324,55,402,182
130.2,0,520,0,635,201
130.4,1,306,49,381,174
130.4,0,521,-1,634,202
130.6,1,292,47,360,174
130.6,0,521,-4,636,202
130.8,1,287,48,355,171
130.8,0,521,-3,636,201
131.0,1,291,50,364,174
131.0,0,521,-3,636,200
131.2,1,279,57,353,184
131.2,0,517,-7,635,202
131.4,1,274,58,334,177
131.4,0,507,-7,626,204
131.6,1,287,48,354,171
131.6,0,506,-4,632,205
131.8,1,298,44,373,169
131.8,0,504,-3,634,205
132.0,1,300,44,375,170
132.0,0,503,-3,630,205
132.2,1,295,42,368,170
132.2,0,505,-5,631,205
132.4,1,301,47,374,171
132.4,0,503,-4,625,205
132.6,1,-5,-4,192,329
132.6,0,301,60,448,257
132.8,0,302,56,448,258
132.8,1,-44,-26,173,332
133.0,0,302,56,449,257
133.0,1,-56,-23,157,339
133.2,0,303,56,449,257
133.2,1,-49,-19,165,336
133.4,0,303,56,450,258
133.4,1,-43,-20,165,350
133.6,0,197,53,325,230
133.8,0,202,55,329,231
134.0,0,226,57,355,232
134.2,0,231,57,366,232
134.4,0,233,56,366,230
134.6,0,232,54,365,229
134.8,1,274,36,391,232
135.0,1,280,29,397,211
135.2,1,267,19,390,203
135.4,1,248,40,363,237
135.6,1,249,33,363,234
135.8,1,255,28,372,220
136.0,1,253,30,370,209
136.2,1,254,29,371,207
136.4,1,256,29,373,211
136.6,1,256,28,374,209
136.8,1,257,28,374,216
137.0,1,261,37,381,225
137.2,0,501,115,573,204
137.2,1,143,120,209,219
137.4,0,499,115,570,204
137.4,1,141,119,205,217
137.6,0,498,114,568,203
137.6,1,138,119,203,217
137.8,0,498,114,568,203
137.8,1,136,120,203,218
138.0,1,136,122,203,222
138.0,0,498,114,570,203
138.2,1,135,122,203,224
138.2,0,499,113,571,204
138.4,1,130,121,199,222
138.4,0,501,116,574,205
138.6,1,126,118,194,219
138.6,0,505,119,579,206
138.8,1,124,116,192,216
138.8,0,511,121,587,209
139.0,1,125,117,193,216
139.0,0,519,127,596,214
139.2,1,126,117,194,217
139.2,0,518,130,594,211
139.4,1,127,117,195,216
139.4,0,519,128,595,213
139.6,1,127,115,195,213
139.6,0,520,128,596,213
139.8,1,120,116,187,216
139.8,0,519,129,595,212
140.0,1,111,117,179,220
140.0,0,520,129,595,213
140.2,1,107,117,175,221
140.2,0,520,129,595,212
140.4,1,106,116,175,219
140.4,0,520,128,596,213
140.6,1,105,117,174,214
140.6,0,520,129,595,214
140.8,1,286,52,354,173
140.8,0,504,1,607,201
141.0,1,297,45,373,168
141.0,0,505,10,606,201
141.2,1,303,44,382,163
141.2,0,505,13,605,201
141.4,1,301,50,377,170
141.4,0,505,15,604,201
141.6,1,299,54,377,175
141.6,0,506,15,605,201
141.8,1,297,56,373,181
141.8,0,506,17,602,202
142.0,1,294,57,368,187
142.0,0,506,15,604,202
142.2,1,304,52,379,177
142.2,0,506,15,604,202
142.4,1,305,53,379,178
142.4,0,506,15,605,203
142.6,1,305,53,376,179
142.6,0,506,13,605,202
142.8,1,296,57,371,185
142.8,0,506,15,606,203
143.0,1,-9,14,213,367
143.0,0,318,61,467,269
143.2,1,0,12,231,359
143.2,0,298,68,468,263
143.4,0,321,59,466,264
143.4,1,-9,0,211,360
143.6,0,322,59,467,265
143.6,1,-26,-16,174,339
143.8,0,322,60,468,267
143.8,1,-45,-24,146,300
144.0,0,325,63,472,268
144.0,1,-62,-33,148,287
144.2,0,324,63,472,269
144.2,1,-65,-38,161,301
144.4,1,291,41,418,225
144.6,1,289,39,418,224
144.8,1,280,41,412,231
145.0,1,279,42,409,229
145.2,1,276,43,407,224
145.4,1,275,44,407,224
145.6,1,276,45,409,225
145.8,1,276,44,408,224
146.0,1,276,45,408,223
146.2,0,326,62,472,265
146.2,1,-31,-20,173,356
146.4,0,324,62,471,267
146.4,-1,13,3,171,320
146.6,0,325,62,471,267
146.8,0,326,63,472,267
147.0,0,325,67,471,269
147.2,0,327,68,473,270
147.4,0,326,67,472,268
147.6,0,326,68,472,268
147.8,0,326,65,473,269
148.0,0,325,63,473,268
148.2,0,325,65,473,269
148.4,1,370,45,494,236
148.6,1,365,47,487,236
148.8,1,337,48,468,232
149.0,1,322,55,451,246
149.2,1,314,53,441,245
149.4,1,311,44,437,234
149.6,1,310,45,436,237
149.8,1,307,45,431,232
150.0,1,294,40,419,232
150.2,1,284,51,409,239
150.4,1,282,53,410,241
150.6,1,285,45,412,236
150.8,1,292,46,418,242
151.0,1,257,66,362,246
151.0,0,496,-9,638,264
151.2,1,253,54,360,242
151.2,0,495,-7,642,265
151.4,1,276,47,397,228
151.4,0,494,-8,644,262
151.6,1,269,52,393,234
151.8,1,264,44,388,229
152.0,1,270,52,393,234
152.2,1,264,48,389,237
152.4,1,264,50,389,236
152.6,1,264,51,388,235
152.8,1,266,43,390,230
153.0,1,266,55,387,245
153.2,1,266,54,389,241
153.2,0,485,-26,638,277
153.4,1,268,53,390,237
153.4,0,485,-9,630,271
153.6,1,268,54,391,237
153.6,0,486,-19,636,281
153.8,1,268,54,390,240
154.0,0,324,61,469,262
154.2,0,325,57,469,261
154.2,1,-16,-3,193,360
154.4,0,323,57,467,261
154.4,1,-20,9,206,364
154.6,0,323,59,468,261
154.6,1,28,35,187,351
154.8,0,324,58,468,261
155.0,0,324,58,469,260
155.2,0,326,59,471,261
155.4,0,328,58,472,261
155.6,0,328,59,473,261
155.8,0,329,61,473,261
156.0,0,329,58,473,261
